log-1,2024-03-10 09:00:00,high,edr,WS-ENG-01,fin.analyst,203.0.113.77,192.168.10.32,email_phishing,"Suspicious email received by fin.analyst on WS-ENG-01: subject 'Urgent Invoice Payment', attachment 'invoice_2024-03-10.zip' from 203.0.113.77.",25,,
log-2,2024-03-10 08:55:00,medium,edr,WS-FIN-01,hr.user,198.51.100.45,192.168.10.30,email_phishing,"Suspicious email received by hr.user on WS-FIN-01: subject 'Urgent Invoice Payment', attachment 'invoice_2024-03-10.zip' from 198.51.100.45.",25,,
log-3,2024-03-10 08:50:00,high,email_gateway,WS-ENG-01,hr.user,198.51.100.45,192.168.10.32,email_phishing,"Suspicious email received by hr.user on WS-ENG-01: subject 'Urgent Invoice Payment', attachment 'invoice_2024-03-10.zip' from 198.51.100.45.",25,,
log-4,2024-03-10 08:45:00,medium,email_gateway,WS-FIN-02,fin.analyst,203.0.113.50,192.168.10.31,email_phishing,"Suspicious email received by fin.analyst on WS-FIN-02: subject 'Urgent Invoice Payment', attachment 'invoice_2024-03-10.zip' from 203.0.113.50.",25,,
log-5,2024-03-10 08:40:00,high,edr,WS-FIN-01,hr.user,203.0.113.50,192.168.10.30,email_phishing,"Suspicious email received by hr.user on WS-FIN-01: subject 'Urgent Invoice Payment', attachment 'invoice_2024-03-10.zip' from 203.0.113.50.",25,,
log-6,2024-03-10 08:35:00,high,windows,WS-FIN-01,hr.user,203.0.113.77,192.168.10.30,email_phishing,"Suspicious email received by hr.user on WS-FIN-01: subject 'Urgent Invoice Payment', attachment 'invoice_2024-03-10.zip' from 203.0.113.77.",25,,
log-7,2024-03-10 08:30:00,medium,edr,WS-ENG-01,hr.user,198.51.100.45,192.168.10.32,email_phishing,"Suspicious email received by hr.user on WS-ENG-01: subject 'Urgent Invoice Payment', attachment 'invoice_2024-03-10.zip' from 198.51.100.45.",25,,
log-8,2024-03-10 08:25:00,high,email_gateway,WS-FIN-02,hr.user,198.51.100.200,192.168.10.31,email_phishing,"Suspicious email received by hr.user on WS-FIN-02: subject 'Urgent Invoice Payment', attachment 'invoice_2024-03-10.zip' from 198.51.100.200.",25,,
log-9,2024-03-10 08:20:00,high,email_gateway,WS-FIN-02,hr.user,203.0.113.50,192.168.10.31,email_phishing,"Suspicious email received by hr.user on WS-FIN-02: subject 'Urgent Invoice Payment', attachment 'invoice_2024-03-10.zip' from 203.0.113.50.",25,,
log-10,2024-03-10 08:15:00,high,windows,WS-FIN-02,hr.user,198.51.100.45,192.168.10.31,email_phishing,"Suspicious email received by hr.user on WS-FIN-02: subject 'Urgent Invoice Payment', attachment 'invoice_2024-03-10.zip' from 198.51.100.45.",25,,
log-11,2024-03-10 08:10:00,medium,windows,WS-FIN-02,fin.analyst,192.168.10.31,192.168.10.31,office_macro_execution,Microsoft Word spawned child process powershell.exe on WS-FIN-02 for user fin.analyst with suspicious command-line parameters (Base64-encoded payload).,,,
log-12,2024-03-10 08:05:00,medium,windows,WS-FIN-01,fin.analyst,192.168.10.30,192.168.10.30,office_macro_execution,Microsoft Word spawned child process powershell.exe on WS-FIN-01 for user fin.analyst with suspicious command-line parameters (Base64-encoded payload).,,,
log-13,2024-03-10 08:00:00,high,windows,WS-FIN-01,fin.analyst,192.168.10.30,192.168.10.30,office_macro_execution,Microsoft Word spawned child process powershell.exe on WS-FIN-01 for user fin.analyst with suspicious command-line parameters (Base64-encoded payload).,,,
log-14,2024-03-10 07:55:00,high,windows,WS-FIN-02,fin.analyst,192.168.10.31,192.168.10.31,office_macro_execution,Microsoft Word spawned child process powershell.exe on WS-FIN-02 for user fin.analyst with suspicious command-line parameters (Base64-encoded payload).,,,
log-15,2024-03-10 07:50:00,high,windows,WS-FIN-01,fin.analyst,192.168.10.30,192.168.10.30,office_macro_execution,Microsoft Word spawned child process powershell.exe on WS-FIN-01 for user fin.analyst with suspicious command-line parameters (Base64-encoded payload).,,,
log-16,2024-03-10 07:45:00,high,windows,WS-FIN-02,fin.analyst,192.168.10.31,192.168.10.31,office_macro_execution,Microsoft Word spawned child process powershell.exe on WS-FIN-02 for user fin.analyst with suspicious command-line parameters (Base64-encoded payload).,,,
log-17,2024-03-10 07:40:00,high,windows,WS-FIN-01,fin.analyst,192.168.10.30,192.168.10.30,office_macro_execution,Microsoft Word spawned child process powershell.exe on WS-FIN-01 for user fin.analyst with suspicious command-line parameters (Base64-encoded payload).,,,
log-18,2024-03-10 07:35:00,medium,windows,WS-FIN-01,fin.analyst,192.168.10.30,192.168.10.30,office_macro_execution,Microsoft Word spawned child process powershell.exe on WS-FIN-01 for user fin.analyst with suspicious command-line parameters (Base64-encoded payload).,,,
log-19,2024-03-10 07:30:00,high,windows,WS-FIN-02,fin.analyst,192.168.10.31,192.168.10.31,office_macro_execution,Microsoft Word spawned child process powershell.exe on WS-FIN-02 for user fin.analyst with suspicious command-line parameters (Base64-encoded payload).,,,
log-20,2024-03-10 07:25:00,medium,windows,WS-FIN-02,fin.analyst,192.168.10.31,192.168.10.31,office_macro_execution,Microsoft Word spawned child process powershell.exe on WS-FIN-02 for user fin.analyst with suspicious command-line parameters (Base64-encoded payload).,,,
log-21,2024-03-10 07:20:00,medium,edr,WS-FIN-01,fin.analyst,192.168.10.30,198.51.100.45,malware_dropper_download,EDR detected PowerShell downloading executable 'upd321.tmp' from 198.51.100.45 to C:\Users\fin.analyst\AppData\Local\Temp\upd321.tmp.,80,443,
